type,name,price,currency
bread,opportunity,"351,4",uah
bread,five,"143,79",uah
bread,explain,"421,67",uah
bread,budget,"106,52",uah
bread,professor,"465,61",uah
bread,those,"224,17",uah
bread,question,"30,86",uah
bread,deep,"311,38",uah
bread,color,"53,83",uah
bread,social,"293,72",uah
bread,rock,"298,19",uah
bread,difference,"441,52",uah
bread,drug,"124,92",uah
bread,rest,"149,8",uah
bread,sea,"52,11",uah
bread,draw,"273,94",uah
bread,call,"318,69",uah
bread,wrong,"320,73",uah
bread,could,"134,74",uah
bread,return,"412,42",uah
bread,note,"322,61",uah
bread,even,"225,11",uah
bread,especially,"70,16",uah
bread,simply,"491,55",uah
bread,whom,"292,11",uah
bread,use,"63,97",uah
bread,including,"325,60",uah
bread,particularly,"428,8",uah
bread,kid,"428,91",uah
bread,available,"328,82",uah
bread,final,"48,94",uah
bread,ahead,"250,81",uah
bread,ground,"336,28",uah
bread,type,"298,66",uah
bread,around,"346,71",uah
bread,until,"470,16",uah
bread,various,"248,27",uah
bread,institution,"69,72",uah
bread,thought,"167,83",uah
bread,adult,"466,16",uah
bread,every,"47,33",uah
bread,wide,"266,98",uah
bread,since,"124,47",uah
bread,apply,"421,72",uah
bread,enough,"98,93",uah
bread,administration,"24,79",uah
bread,create,"256,74",uah
bread,site,"333,13",uah
bread,pull,"174,92",uah
bread,anything,"266,5",uah
bread,base,"464,67",uah
bread,successful,"118,97",uah
bread,bring,"276,10",uah
bread,laugh,"135,25",uah
bread,ask,"421,92",uah
bread,building,"125,24",uah
bread,south,"219,13",uah
bread,hard,"90,68",uah
bread,way,"321,21",uah
bread,arm,"243,13",uah
bread,short,"88,14",uah
bread,sign,"215,9",uah
bread,common,"215,94",uah
bread,until,"297,54",uah
bread,us,"455,84",uah
bread,morning,"329,15",uah
bread,voice,"379,84",uah
bread,seek,"11,33",uah
bread,tell,"98,20",uah
bread,side,"120,65",uah
bread,red,"374,15",uah
bread,fact,"447,32",uah
bread,stage,"213,21",uah
bread,certainly,"75,39",uah
bread,decision,"10,89",uah
bread,practice,"415,74",uah
bread,indicate,"207,17",uah
bread,single,"376,89",uah
bread,particular,"122,74",uah
bread,teach,"467,1",uah
bread,when,"492,52",uah
bread,agree,"385,96",uah
bread,give,"251,59",uah
bread,paper,"365,62",uah
bread,world,"469,36",uah
bread,sound,"447,90",uah
bread,able,"317,79",uah
bread,avoid,"111,62",uah
bread,well,"398,41",uah
bread,popular,"344,95",uah
bread,wait,"398,97",uah
bread,community,"396,48",uah
bread,administration,"154,97",uah
bread,former,"160,36",uah
bread,physical,"396,30",uah
bread,hope,"128,1",uah
bread,check,"344,34",uah
bread,wear,"136,45",uah
bread,until,"481,6",uah
bread,design,"197,87",uah
milk,serious,"69,81",uah
milk,smile,"67,35",uah
milk,start,"24,92",uah
milk,security,"12,32",uah
milk,available,"87,8",uah
milk,garden,"45,76",uah
milk,range,"29,69",uah
milk,this,"19,22",uah
milk,election,"22,17",uah
milk,president,"98,29",uah
milk,next,"18,34",uah
milk,career,"21,16",uah
milk,game,"39,74",uah
milk,machine,"27,90",uah
milk,move,"17,5",uah
milk,million,"15,39",uah
milk,day,"28,74",uah
milk,course,"86,49",uah
milk,land,"90,65",uah
milk,executive,"59,47",uah
milk,fire,"39,39",uah
milk,discussion,"74,13",uah
milk,whose,"49,3",uah
milk,nature,"68,80",uah
milk,east,"18,37",uah
milk,eye,"25,71",uah
milk,way,"97,28",uah
milk,into,"45,35",uah
milk,citizen,"19,80",uah
milk,source,"21,74",uah
milk,resource,"92,23",uah
milk,watch,"78,70",uah
milk,indicate,"57,70",uah
milk,pull,"91,17",uah
milk,dinner,"94,83",uah
milk,chance,"56,52",uah
milk,poor,"94,53",uah
milk,remember,"20,12",uah
milk,skin,"29,23",uah
milk,wall,"14,96",uah
milk,eye,"63,33",uah
milk,happy,"84,47",uah
milk,find,"37,1",uah
milk,no,"52,47",uah
milk,figure,"51,58",uah
milk,far,"52,65",uah
milk,treat,"11,61",uah
milk,contain,"25,22",uah
milk,law,"99,57",uah
milk,either,"60,90",uah
milk,price,"69,17",uah
milk,use,"81,5",uah
milk,understand,"93,94",uah
milk,treatment,"37,58",uah
milk,floor,"74,43",uah
milk,address,"35,0",uah
milk,contain,"82,75",uah
milk,order,"18,79",uah
milk,approach,"37,68",uah
milk,former,"16,49",uah
milk,pull,"13,59",uah
milk,from,"96,26",uah
milk,consider,"69,38",uah
milk,simply,"49,3",uah
milk,newspaper,"78,90",uah
milk,toward,"93,60",uah
milk,whatever,"58,1",uah
milk,car,"81,36",uah
milk,rise,"54,2",uah
milk,economic,"27,32",uah
milk,soon,"41,65",uah
milk,paper,"62,72",uah
milk,number,"53,16",uah
milk,many,"15,83",uah
milk,democratic,"27,52",uah
milk,stop,"81,71",uah
milk,entire,"99,87",uah
milk,society,"82,5",uah
milk,bed,"22,9",uah
milk,pattern,"77,92",uah
milk,human,"12,90",uah
milk,should,"80,56",uah
milk,business,"14,59",uah
milk,focus,"62,92",uah
milk,remember,"58,54",uah
milk,sport,"67,60",uah
milk,look,"41,17",uah
milk,billion,"12,48",uah
milk,discover,"36,89",uah
milk,such,"86,39",uah
milk,stay,"98,93",uah
milk,by,"26,54",uah
milk,within,"74,9",uah
milk,serious,"69,3",uah
milk,teacher,"51,93",uah
milk,only,"100,73",uah
milk,old,"13,49",uah
milk,drive,"60,33",uah
milk,nation,"56,93",uah
milk,chance,"42,51",uah
cheese,attention,"310,3",uah
cheese,hope,"388,61",uah
cheese,state,"603,24",uah
cheese,pull,"566,71",uah
cheese,ten,"472,36",uah
cheese,true,"228,12",uah
cheese,practice,"252,47",uah
cheese,here,"411,76",uah
cheese,business,"364,83",uah
cheese,boy,"855,6",uah
cheese,recently,"300,21",uah
cheese,before,"383,83",uah
cheese,deep,"917,65",uah
cheese,participant,"661,20",uah
cheese,never,"389,86",uah
cheese,leave,"900,62",uah
cheese,hard,"201,35",uah
cheese,act,"627,10",uah
cheese,black,"764,44",uah
cheese,carry,"573,38",uah
cheese,night,"190,25",uah
cheese,serve,"109,37",uah
cheese,news,"807,57",uah
cheese,one,"273,31",uah
cheese,medical,"488,7",uah
cheese,these,"205,42",uah
cheese,continue,"281,98",uah
cheese,show,"862,74",uah
cheese,live,"724,1",uah
cheese,month,"552,58",uah
cheese,hold,"937,1",uah
cheese,reason,"428,60",uah
cheese,nothing,"189,37",uah
cheese,high,"963,64",uah
cheese,approach,"897,67",uah
cheese,this,"446,69",uah
cheese,between,"67,21",uah
cheese,cost,"997,72",uah
cheese,relationship,"703,8",uah
cheese,class,"784,89",uah
cheese,too,"913,9",uah
cheese,everyone,"389,51",uah
cheese,into,"578,74",uah
cheese,Democrat,"525,47",uah
cheese,role,"896,11",uah
cheese,course,"789,89",uah
cheese,teach,"697,51",uah
cheese,red,"171,43",uah
cheese,expect,"351,82",uah
cheese,bring,"496,11",uah
cheese,detail,"985,23",uah
cheese,write,"747,52",uah
cheese,field,"224,20",uah
cheese,majority,"877,6",uah
cheese,here,"686,67",uah
cheese,eat,"662,17",uah
cheese,article,"479,94",uah
cheese,important,"204,43",uah
cheese,feeling,"34,75",uah
cheese,south,"461,29",uah
cheese,call,"267,7",uah
cheese,perform,"139,76",uah
cheese,development,"580,34",uah
cheese,modern,"743,21",uah
cheese,score,"987,33",uah
cheese,hot,"567,71",uah
cheese,mind,"612,60",uah
cheese,force,"783,7",uah
cheese,phone,"586,4",uah
cheese,now,"842,25",uah
cheese,anything,"875,82",uah
cheese,easy,"207,32",uah
cheese,house,"990,35",uah
cheese,management,"126,47",uah
cheese,language,"606,12",uah
cheese,system,"739,76",uah
cheese,four,"341,66",uah
cheese,everyone,"807,91",uah
cheese,exist,"864,96",uah
cheese,performance,"850,52",uah
cheese,picture,"109,64",uah
cheese,owner,"926,80",uah
cheese,single,"882,38",uah
cheese,five,"179,48",uah
cheese,necessary,"478,87",uah
cheese,loss,"883,69",uah
cheese,space,"807,2",uah
cheese,foreign,"575,47",uah
cheese,south,"348,44",uah
cheese,clearly,"256,87",uah
cheese,specific,"884,13",uah
cheese,eat,"607,18",uah
cheese,country,"56,90",uah
cheese,its,"818,67",uah
cheese,wall,"157,25",uah
cheese,by,"534,35",uah
cheese,trip,"847,2",uah
cheese,green,"285,4",uah
cheese,staff,"894,68",uah
cheese,spring,"326,65",uah
